team,1,2,3,4,5,6,total
Borussia Dortmund,0.5617,0.1222,0.5949,0.3676,0.7811,0.7651,3.1926
RasenBallsport Leipzig,0.2648,0.3329,0.797,0.5285,0.3931,0.5025,2.8188
Union Berlin,0.1612,0.1587,0.8238,0.7745,0.7576,0.1346,2.8104
Bayer Leverkusen,0.1948,0.216,0.4112,0.8011,0.7001,0.242,2.5652
Bayern Munich,0.8586,0.0341,0.2114,0.2406,0.64,0.4573,2.442
Borussia M.Gladbach,0.0788,0.4485,0.7787,0.2187,0.0796,0.4878,2.0921
Wolfsburg,0.6294,0.3797,0.0676,0.0451,0.4754,0.2627,1.8599
Eintracht Frankfurt,0.5227,0.1412,0.4446,0.1545,0.0067,0.4472,1.7169
FC Cologne,0.0091,0.8473,0.0567,0.1068,0.4498,0.1901,1.6598
Hertha Berlin,0.6019,0.0917,0.0019,0.1527,0.0256,0.6657,1.5395
Werder Bremen,0.0882,0.1083,0.2925,0.3244,0.3867,0.044,1.2441
Freiburg,0.077,0.6476,0.0117,0.0861,0.1805,0.2151,1.218
Hoffenheim,0.0082,0.2704,0.0011,0.1069,0.7895,0.0019,1.178
VfB Stuttgart,0.0495,0.2628,0.1336,0.1805,0.0261,0.4111,1.0636
Augsburg,0.2964,0.1842,0.2219,0.0369,0.0171,0.2765,1.033
Arminia Bielefeld,0.0278,0.1332,0.6983,0.012,0.0307,0.0326,0.9346
Mainz 05,0.0146,0.0127,0.0809,0.6244,0.0159,0.07,0.8185
Schalke 04,0.0019,0.0101,0.0113,0.3714,0.1944,0.1049,0.694
