team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
Real Sociedad,0.3321,0.447,0.0838,0.3287,0.7193,0.7298,0.4871,0.0483,0.2474,0.919,0.177,0.7729,0.1379,0.0274,0.1284,0.5623,0.8366,0.4886,0.0198,0.4876,0.7844,0.6628,0.7605,0.7287,0.0715,0.8268,0.7078,0.0055,0.3001,0.0211,0.0032,0.5925,0.46,0.6322,0.9221,0.1245,0.3343,0.6465,16.5655
Sevilla,0.2705,0.6392,0.2996,0.2456,0.8124,0.1851,0.5956,0.054,0.8417,0.0584,0.6778,0.3568,0.5605,0.6987,0.034,0.2966,0.5242,0.1257,0.2236,0.3255,0.8064,0.1171,0.6057,0.0756,0.2999,0.5026,0.5164,0.2398,0.5392,0.0513,0.7375,0.7253,0.2176,0.4602,0.2942,0.6995,0.1205,0.4221,15.2564
Atletico Madrid,0.175,0.5112,0.8134,0.106,0.2978,0.1266,0.6634,0.2088,0.8301,0.6347,0.5043,0.5426,0.7903,0.3239,0.8537,0.2283,0.1487,0.774,0.3837,0.0187,0.3621,0.4699,0.4084,0.0407,0.0668,0.4219,0.6559,0.1753,0.0628,0.5129,1.0,0.1281,0.1666,0.1157,0.4089,0.1683,0.3873,0.3053,14.7921
Athletic Club,0.5153,0.7122,0.7571,0.5551,0.7435,0.1988,0.2524,0.021,0.6708,0.5744,0.1814,0.0412,0.0393,0.8298,0.2235,0.0653,0.8697,0.2058,0.1288,0.036,0.4116,0.545,0.9334,0.1855,0.0967,0.1015,0.1972,0.5537,0.4575,0.6298,0.7771,0.4587,0.5159,0.4401,0.1366,0.1622,0.2129,0.1669,14.6037
Real Madrid,0.4501,0.1691,0.5709,0.5492,0.1244,0.1299,0.3871,0.015,0.0886,0.0389,0.5778,0.3883,0.455,0.4873,0.4047,0.192,0.5347,0.5202,0.4397,0.0805,0.3739,0.907,0.9416,0.3307,0.1874,0.0821,0.4035,0.4679,0.7363,0.2978,0.037,0.196,0.3247,0.9293,0.1825,0.1099,0.4356,0.5002,14.0468
Getafe,0.588,0.3804,0.63,0.0419,0.4969,0.2069,0.0753,0.0405,0.144,0.7505,0.0402,0.5874,0.6922,0.2506,0.35,0.2196,0.193,0.4773,0.09,0.8119,0.0567,0.0993,0.0291,0.0082,0.8374,0.1383,0.1209,0.035,0.8144,0.4968,0.5215,0.0413,0.6097,0.827,0.1826,0.8038,0.5913,0.6291,13.909
Villarreal,0.5444,0.2612,0.008,0.4988,0.5253,0.4776,0.8063,0.4352,0.5628,0.4672,0.0597,0.9465,0.6131,0.2131,0.3567,0.0077,0.56,0.6883,0.8685,0.834,0.2137,0.1619,0.2093,0.0493,0.3614,0.09,0.1413,0.2711,0.1489,0.197,0.3892,0.143,0.0126,0.6074,0.0394,0.1815,0.0369,0.4226,13.4109
Barcelona,0.7774,0.5508,0.1924,0.0862,0.0096,0.0346,0.3466,0.4044,0.1439,0.006,0.281,0.0477,0.0794,0.598,0.5123,0.7585,0.5101,0.587,0.5838,0.7532,0.0794,0.4419,0.1126,0.6939,0.8878,0.4494,0.0177,0.3221,0.6334,0.1377,0.1117,0.3186,0.3724,0.1515,0.4914,0.1996,0.4536,0.1636,13.3012
Real Betis,0.0921,0.7424,0.0034,0.3537,0.5618,0.099,0.2423,0.5734,0.0017,0.0073,0.0048,0.6847,0.2598,0.1219,0.7474,0.0799,0.775,0.2439,0.3391,0.053,0.2074,0.2106,0.1627,0.7518,0.7909,0.3901,0.387,0.5239,0.3394,0.1742,0.0808,0.4138,0.3541,0.4053,0.0643,0.2732,0.7712,0.1574,12.4447
SD Huesca,0.063,0.0423,0.7254,0.1003,0.8195,0.2169,0.0809,0.0629,0.2901,0.3997,0.0985,0.1007,0.8374,0.0958,0.537,0.0303,0.0151,0.0174,0.4978,0.5834,0.1198,0.0007,0.2012,0.3139,0.1186,0.5011,0.141,0.3881,0.6221,0.298,0.7223,0.0439,0.4407,0.7365,0.2896,0.6259,0.1649,0.648,11.9907
Eibar,0.4007,0.0211,0.5903,0.6706,0.1789,0.2118,0.0606,0.3048,0.0426,0.6937,0.5704,0.4721,0.1789,0.0484,0.0911,0.0598,0.3319,0.3349,0.1548,0.1431,0.0708,0.0046,0.2031,0.6621,0.5616,0.1286,0.0218,0.1329,0.1094,0.7253,0.0104,0.0927,0.4034,0.855,0.4172,0.5118,0.1898,0.7464,11.4074
Osasuna,0.5316,0.4339,0.0118,0.6898,0.684,0.5494,0.0098,0.1682,0.3582,0.0005,0.1189,0.0723,0.0257,0.1908,0.1366,0.3171,0.6458,0.3808,0.6359,0.5395,0.0665,0.2886,0.0709,0.2906,0.5569,0.2347,0.3594,0.3814,0.718,0.1611,0.4564,0.2165,0.5088,0.166,0.2026,0.1067,0.0276,0.0722,11.3855
Celta Vigo,0.7003,0.6236,0.1057,0.3156,0.2526,0.1476,0.1608,0.0087,0.0802,0.0505,0.0894,0.6269,0.362,0.6588,0.7607,0.3259,0.2208,0.0197,0.4967,0.527,0.7188,0.1978,0.3118,0.23,0.3852,0.0044,0.3699,0.0036,0.0084,0.1431,0.7085,0.0277,0.126,0.2605,0.0265,0.2808,0.0741,0.0237,10.4343
Alaves,0.7046,0.0153,0.1957,0.0034,0.5769,0.3303,0.7298,0.1014,0.061,0.1053,0.0964,0.1498,0.6776,0.137,0.415,0.7201,0.0072,0.0177,0.1692,0.1625,0.5423,0.9475,0.0179,0.0313,0.1733,0.0628,0.0713,0.472,0.0208,0.0735,0.3725,0.1701,0.2298,0.1295,0.3031,0.3522,0.3444,0.6945,10.385
Cadiz,0.4842,0.7915,0.0621,0.5709,0.404,0.2634,0.3662,0.6083,0.0347,0.0909,0.9158,0.1457,0.1056,0.1389,0.7,0.7353,0.3162,0.2351,0.0546,0.0453,0.0748,0.0002,0.0502,0.0355,0.4895,0.1052,0.0973,0.0049,0.3729,0.016,0.6383,0.0056,0.0102,0.284,0.6377,0.051,0.0289,0.1692,10.1401
Levante,0.0861,0.3901,0.316,0.0834,0.0559,0.3847,0.7884,0.2998,0.3764,0.2314,0.6001,0.0239,0.0667,0.1323,0.0225,0.1084,0.1983,0.3992,0.4931,0.2113,0.1958,0.4808,0.2187,0.0883,0.0569,0.0012,0.5976,0.0218,0.3711,0.691,0.1129,0.0056,0.6363,0.0393,0.2038,0.0205,0.4432,0.6244,10.0772
Valencia,0.0329,0.0313,0.2826,0.5445,0.0941,0.1057,0.8421,0.0358,0.3165,0.0699,0.2902,0.3192,0.0693,0.0028,0.0551,0.0672,0.5795,0.5575,0.1077,0.0792,0.7138,0.2167,0.4063,0.4039,0.3902,0.0662,0.396,0.36,0.2757,0.3065,0.5039,0.0035,0.3244,0.0001,0.4599,0.3541,0.0199,0.3652,10.0494
Granada,0.6043,0.3488,0.0037,0.2696,0.4198,0.1798,0.4293,0.0039,0.1682,0.0007,0.1388,0.5725,0.2944,0.0781,0.2027,0.0423,0.1497,0.5242,0.0311,0.0686,0.7033,0.1565,0.3652,0.0238,0.12,0.1409,0.7298,0.2148,0.0059,0.1606,0.2239,0.1475,0.2056,0.0877,0.037,0.2289,0.0216,0.6235,8.727
Real Valladolid,0.7252,0.0865,0.2427,0.0168,0.0822,0.2282,0.0344,0.0694,0.1081,0.1548,0.1757,0.2455,0.2281,0.0859,0.0194,0.412,0.4203,0.2917,0.5282,0.3056,0.2389,0.1624,0.0896,0.1719,0.3749,0.3304,0.62,0.2492,0.1488,0.2317,0.1997,0.032,0.0643,0.0748,0.1842,0.5335,0.0927,0.2418,8.5015
Elche,0.011,0.1858,0.124,0.3801,0.192,0.0154,0.076,0.3325,0.4497,0.5849,0.1662,0.043,0.1259,0.1354,0.1755,0.009,0.3242,0.0019,0.0082,0.1509,0.0458,0.1216,0.0259,0.1638,0.343,0.1152,0.0784,0.0666,0.0683,0.1787,0.5728,0.2001,0.7841,0.3028,0.0475,0.0936,0.1827,0.7329,7.6154
