team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,total
Zenit St. Petersburg,0.7423,0.5381,0.4669,0.735,0.8549,0.7324,0.6396,0.4981,0.5914,0.0698,0.311,0.3282,0.4418,0.1912,0.0702,0.733,0.3912,0.0858,0.8733,9.2942
FK Akhmat,0.3609,0.0215,0.491,0.1141,0.0633,0.0901,0.7535,0.3035,0.8169,0.3225,0.0181,0.6161,0.8046,0.7491,0.6107,0.5213,0.0319,0.6575,0.3943,7.7409
Spartak Moscow,0.0318,0.6971,0.7557,0.4488,0.309,0.5898,0.4003,0.1506,0.5829,0.088,0.1563,0.0779,0.7471,0.3486,0.6058,0.4222,0.5355,0.444,0.0446,7.436
CSKA Moscow,0.5363,0.376,0.2688,0.3504,0.3759,0.4266,0.442,0.6798,0.0729,0.7294,0.5714,0.3273,0.7627,0.1016,0.2845,0.3424,0.1963,0.3528,0.1001,7.2972
FC Rostov,0.7364,0.0338,0.1623,0.5475,0.8535,0.1578,0.6956,-,0.4234,0.3488,0.0861,0.0845,0.2699,0.079,0.8294,0.1545,0.3152,0.6707,0.0523,6.5007
Rubin Kazan,0.2588,0.1211,0.1146,0.3994,0.6691,0.4301,0.5373,0.7246,0.3935,0.1953,0.0125,0.2886,0.581,0.1631,0.2779,0.1693,0.0181,0.8116,0.3294,6.4953
PFC Sochi,0.1821,0.2181,0.0501,0.472,0.4551,0.5084,0.1844,0.4175,0.2303,0.291,0.2619,0.2583,0.7403,0.1907,0.7433,0.652,0.196,0.0828,0.3604,6.4947
FC Krasnodar,0.7149,0.1777,0.4833,0.2348,0.4183,0.5207,-,0.1943,0.1858,0.1798,0.3782,0.2489,0.0621,0.0228,0.8241,0.273,0.5078,0.137,0.6754,6.2389
Dinamo Moscow,0.3448,0.873,0.6519,0.091,0.466,0.4975,0.1022,0.3804,0.0408,0.2733,0.0987,0.7073,0.0443,0.4684,0.2953,0.0078,0.5284,0.0381,0.1005,6.0097
Ural,0.0807,0.05,0.0294,0.2127,0.4615,0.6548,0.2916,0.1813,0.0146,0.3562,0.5229,0.8424,0.5196,0.0111,0.5662,0.6676,0.0003,0.0658,0.3633,5.892
Lokomotiv Moscow,0.0674,0.1799,0.5047,0.1568,0.2292,0.511,0.302,0.8288,0.1689,0.2077,0.883,0.1065,0.309,0.0072,0.5372,0.4124,0.2342,0.0157,0.0475,5.7091
FC Ufa,0.0325,0.4786,0.0202,0.1966,0.0013,0.5478,0.3698,0.0491,0.0238,0.7847,0.3523,0.0151,0.0632,0.2429,0.4705,0.1755,0.7109,0.3989,0.2737,5.2074
FC Tambov,0.4065,0.2124,0.5043,0.0038,0.0251,0.0733,0.6954,0.2222,0.5069,0.6985,0.0983,0.5119,0.0346,0.1817,0.1956,0.0189,0.0066,0.088,0.1138,4.5978
Arsenal Tula,0.6308,0.1189,0.0407,0.3621,0.7228,0.2923,0.0156,0.1229,0.0749,0.0458,0.5875,0.0285,0.0356,0.2104,0.085,0.0436,0.0543,0.705,0.1656,4.3423
Khimki,0.0935,0.3079,0.1219,0.1108,0.2152,0.5349,0.066,0.0003,0.1597,0.0775,0.0171,0.1724,0.1476,0.4454,0.0678,0.6501,0.0859,0.1125,0.3096,3.6961
FC Rotor Volgograd,0.0544,0.154,0.0131,0.1632,0.0165,0.2188,-,-,0.0153,0.3629,0.1592,0.0593,0.2093,0.0149,0.7693,0.0544,0.0196,0.3298,0.1815,2.7955
