id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,total
2097,Lionel Messi,Barcelona,2.0529,0.6503,0.2764,0.0983,1.3643,0.4826,1.5306,0.5032,1.5768,0.4308,1.002,0.7809,1.1058,2.3104,-,0.9514,1.3539,0.2299,-,1.3285,0.3484,1.7029,1.3419,2.3806,1.6625,1.1291,0.3946,2.4371,0.6712,0.4603,0.4174,1.8597,1.0218,1.0304,0.3816,1.3207,1.3177,-,37.9069
7781,Frenkie de Jong,Barcelona,2.0413,0.5277,0.2633,0.3177,0.9761,0.6472,1.0836,0.5059,1.5486,0.1815,0.7161,1.1457,0.9782,1.624,0.5221,1.0298,1.0195,0.2678,2.2879,0.6468,0.1956,1.1079,0.4943,1.287,0.6529,0.4459,0.7259,1.639,0.2965,0.3168,0.101,2.436,0.3739,0.7631,0.4193,0.7811,-,0.1348,30.5018
2370,Karim Benzema,Real Madrid,0.3343,2.3136,0.3086,1.3354,0.2447,0.9891,1.4793,0.1829,-,-,0.9941,0.2452,0.8088,1.7041,1.2024,0.3202,0.3445,0.1647,0.9,1.1554,0.9386,0.9502,0.5301,-,-,1.8151,0.8253,2.2463,1.0986,0.2967,0.0,1.8447,0.3436,0.5656,0.2865,0.7383,0.2096,0.5873,28.3038
2290,Iago Aspas,Celta Vigo,0.0599,1.2579,0.9669,0.261,0.1078,0.6886,0.6055,0.9473,1.5881,1.952,3.3818,1.1803,0.3519,0.8716,0.0239,1.6144,0.289,-,-,-,0.1554,1.0694,1.6861,-,0.1228,0.3469,0.8368,0.2485,1.5512,0.4095,0.0624,0.1775,0.4696,1.7233,-,0.1019,0.0337,0.216,25.3589
2093,Jordi Alba,Barcelona,2.1753,0.4463,0.0761,-,0.5899,0.5702,1.0981,0.4952,1.4882,0.5629,0.7056,0.5945,0.9446,1.6322,-,1.6105,0.5523,0.2883,0.6341,0.7844,0.0902,-,0.502,0.6599,0.269,0.8998,0.8553,1.6926,0.3364,0.2821,0.0462,1.1345,0.1728,0.9864,0.328,0.8206,0.9296,0.0789,25.333
2270,Antoine Griezmann,Barcelona,1.1634,0.0441,0.1309,0.376,0.0,0.6681,1.5389,0.4609,1.8793,0.6887,0.5622,1.7249,0.9342,-,0.1152,0.0,0.5399,0.517,1.2217,1.6103,0.3534,1.26,0.1965,0.3622,-,0.2122,0.2583,1.7934,0.6794,0.1158,0.0401,1.9193,0.5325,1.7468,0.3546,0.3239,0.2275,0.1706,24.7222
8935,Pedri,Barcelona,0.5405,0.4463,0.0232,0.376,0.3627,0.6606,1.3785,0.1556,0.7702,0.5262,0.2464,0.6447,0.805,1.7981,0.4207,1.6417,1.2145,0.5306,0.7696,1.1582,0.1621,0.9472,0.8482,1.9292,0.1853,0.6672,0.8257,0.699,0.567,0.202,0.0,1.1358,0.0763,0.5655,0.1655,1.2537,0.0229,-,24.7219
2120,Gerard Moreno,Villarreal,0.5098,1.5117,0.1178,1.2631,0.1608,-,-,0.2977,1.0112,0.5698,0.0818,0.3224,0.8472,1.8286,1.0699,0.0879,1.3623,0.9605,-,-,-,0.7239,0.2142,0.068,0.6034,0.7205,1.9531,1.2994,0.8695,0.6409,0.9781,0.7851,0.2029,0.084,0.1372,0.3713,1.1538,0.4555,23.2633
2095,Sergio Busquets,Barcelona,1.3121,0.5277,0.2841,0.0,0.9526,0.557,0.946,-,0.333,0.6123,0.2702,0.6968,0.0548,0.4659,0.1779,1.4555,1.0564,0.7094,1.3014,-,0.4588,0.1827,0.5465,0.5544,0.9325,0.2115,0.9889,1.7365,0.3787,0.1684,0.23,1.2513,0.8274,0.8325,0.0,0.5448,0.7875,0.1125,22.458
1732,Nolito,Celta Vigo,0.0599,1.3883,0.0595,0.204,0.1266,1.0307,0.6735,0.5106,0.5718,0.5816,2.187,0.0998,0.6254,0.3017,0.0239,1.8017,0.289,-,0.1199,0.6911,0.1554,0.6013,1.6291,0.5433,-,0.1909,0.1614,0.0,2.4207,0.019,0.1669,0.0516,0.0305,2.3129,0.1609,0.0964,0.0337,0.1662,20.0862
